State,Republican,Democrat
Alaska,AL,CA
Alabama,AK,CO
Arkansas,AZ,CT
Arizona,AK,DE
California,AR,DC
Colorado,FL,IL
Connecticut,GA,ME
District of Columbia,ID,MD
Delaware,IN,MA
Florida,IA,MN
Georgia,KA,NV
Hawaii,KS,NH
Iowa,KY,NJ
Idaho,LA,NM
Illinois,MI,NY
Indiana,MS,OR
Kansas,MO,RI
Kentucky,MT,VT
Louisiana,NE,VA
Massachusetts,NC,ME
Maryland,ND,ME
Maine,OH,ME1
Michigan,OK,HI
Minnesota,PA,WA
Missouri,SC,
Mississippi,SD,
Montana,TN,
North Carolina,UT,
North Dakota,WV,
Nebraska,WI,
New Hampshire,WY,
New Jersey,ME2,
New Mexico,NE,
Nevada,TX,
New York,,
Ohio,,
Oklahoma,,
Oregon,,
Pennsylvania,,
Rhode Island,,
South Carolina,,
South Dakota,,
Tennessee,,
Texas,,
Utah,,
Virginia,,
Vermont,,
Washington,,
Wisconsin,,
West Virginia,,
Wyoming,,